name,class_true,class_pred,summary,description,人工判别,说明（关键判别特征）
ncurses-term,库,其它,Terminal descriptions,"This package contains additional terminal descriptions not found in
the ncurses-base package.",库,
daxctl,工具,库,Manage Device-DAX instances,"The daxctl utility provides enumeration and provisioning commands for
the Linux kernel Device-DAX facility. This facility enables DAX mappings
of performance / feature differentiated memory without need of a
filesystem.",工具,utility
neon,库,服务,An HTTP and WebDAV client library,"neon is an HTTP and WebDAV client library, with a C interface;
providing a high-level interface to HTTP and WebDAV methods along
with a low-level interface for HTTP request handling.  neon
supports persistent connections, proxy servers, basic, digest and
Kerberos authentication, and has complete SSL support.",库,library
nerdctl,工具,服务,Docker-compatible CLI for containerd,nerdctl is a Docker-compatible CLI for containerd.,工具,ctl/cli
netlabel_tools,工具,服务,Tools to manage the Linux NetLabel subsystem,"NetLabel is a kernel subsystem which implements explicit packet labeling
protocols such as CIPSO for Linux.  Packet labeling is used in secure networks
to mark packets with the security attributes of the data they contain.  This
package provides the necessary user space tools to query and configure the
kernel subsystem.",工具,tools
netpbm-progs,工具,库,Tools for manipulating graphics files in netpbm supported formats,"The netpbm-progs package contains a group of scripts for manipulating the
graphics files in formats which are supported by the netpbm libraries.  For
example, netpbm-progs includes the rasttopnm script, which will convert a
Sun rasterfile into a portable anymap.  Netpbm-progs contains many other
scripts for converting from one graphics file format to another.

If you need to use these conversion scripts, you should install
netpbm-progs.  You'll also need to install the netpbm package.",工具,progs
net-snmp-agent-libs,库,服务,The NET-SNMP runtime agent libraries,"The net-snmp-agent-libs package contains the runtime agent libraries for shared
binaries and applications.",库,#NAME?
net-snmp-libs,库,工具,The NET-SNMP runtime client libraries,"The net-snmp-libs package contains the runtime client libraries for shared
binaries and applications.",库,#NAME?
net-snmp-utils,库,工具,"Network management utilities using SNMP, from the NET-SNMP project","The net-snmp-utils package contains various utilities for use with the
NET-SNMP network management project.

Install this package if you need utilities for managing your network
using the SNMP protocol. You will also need to install the net-snmp
package.",工具,
nettle,库,工具,A low-level cryptographic library,"Nettle is a cryptographic library that is designed to fit easily in more
or less any context: In crypto toolkits for object-oriented languages
(C++, Python, Pike, ...), in applications like LSH or GNUPG, or even in
kernel space.",库,library
NetworkManager-cloud-setup,工具,服务,Automatically configure NetworkManager in cloud,"Installs a nm-cloud-setup tool that can automatically configure
NetworkManager in cloud setups. Currently only EC2 is supported.
This tool is still experimental.",服务,manager
NetworkManager-tui,其它,服务,NetworkManager curses-based UI,"This adds a curses-based ""TUI"" (Text User Interface) to
NetworkManager, to allow performing some of the operations supported
by nm-connection-editor and nm-applet in a non-graphical environment.",服务,跟随主包NetworkManager
network-manager-applet,工具,服务,A network control and status applet for NetworkManager,"This package contains a network control and status notification area applet
for use with NetworkManager.",工具,小程序applet，归类到工具
NetworkManager-libreswan,库,服务,NetworkManager VPN plug-in for IPsec VPN,"This package contains software for integrating the libreswan VPN software
with NetworkManager and the GNOME desktop",服务,
NetworkManager-libreswan-gnome,库,服务,NetworkManager VPN plugin for libreswan - GNOME files,"This package contains software for integrating VPN capabilities with
the libreswan server with NetworkManager (GNOME files).",服务,
nfs4-acl-tools,工具,库,The nfs4 ACL tools,"This package contains commandline ACL utilities for the Linux
NFSv4 client.",工具,tools
libnfsidmap,工具,库,NFSv4 User and Group ID Mapping Library,Library that handles mapping between names and ids for NFSv4.,库,library
nfs-utils,工具,服务,NFS utilities and supporting clients and daemons for the kernel NFS server,"The nfs-utils package provides various utilities for use with NFS
clients and servers.",工具,有工具和服务
python3-nftables,库,工具,Python module providing an interface to libnftables,The nftables python module provides an interface to libnftables via ctypes.,库,python3-
nginx-filesystem,服务,其它,The basic directory layout for the Nginx server,"The nginx-filesystem package contains the basic directory layout
for the Nginx server including the correct permissions for the
directories.",服务,目录结构，跟随主包nginx
nginx-mod-http-xslt-filter,服务,库,Nginx XSLT module,Nginx XSLT module.,服务,
ninja-build,工具,库,A small build system with a focus on speed,"Ninja is a small build system with a focus on speed. It differs from other
build systems in two major respects: it is designed to have its input files
generated by a higher-level build system, and it is designed to run builds as
fast as possible.",工具,构建工具
nispor,库,工具,API for network status querying,Unified interface for Linux network state querying.,库,
python3-nispor,库,工具,API for network status querying,"
This package contains python3 binding of nispor.",库,
nmap,工具,库,Network exploration tool and security scanner,"Nmap is a utility for network exploration or security auditing.  It supports
ping scanning (determine which hosts are up), many port scanning techniques
(determine what services the hosts are offering), and TCP/IP fingerprinting
(remote host operating system identification). Nmap also offers flexible target
and port specification, decoy scanning, determination of TCP sequence
predictability characteristics, reverse-identd scanning, and more. In addition
to the classic command-line nmap executable, the Nmap suite includes a flexible
data transfer, redirection, and debugging tool (netcat utility ncat), a utility
for comparing scan results (ndiff), and a packet generation and response
analysis tool (nping).",工具,tool/utility
nmstate-libs,库,工具,C binding of nmstate,This package contains the C binding of nmstate.,库,binding
npm,库,工具,Node.js Package Manager,"npm is a package manager for node.js. You can use it to install and publish
your node programs. It manages dependencies and does other cool stuff.",工具,遵循node.js语言则归类为库，单独作为包管理工具则归类为工具
nodejs-nodemon,库,工具,Simple monitor script for use during development of a node.js app,"Simple monitor script for use during development of a node.js app.

For use during development of a node.js based application.

nodemon will watch the files in the directory in which nodemon
was started, and if any files change, nodemon will automatically
restart your node application.

nodemon does not require any changes to your code or method of
development. nodemon simply wraps your node application and keeps
an eye on any files that have changed. Remember that nodemon is a
replacement wrapper for node, think of it as replacing the word ""node""
on the command line when you run your script.",工具,
