pkg,summary,description,summary_bert_key,description_bert_key,summary_textrank_key,description_textrank_key,predict_label,real_label
perl-Digest-SHA1,"
Digest-SHA1 Perl module.","
The Digest::SHA1 module allows you to use the NIST SHA-1 message
digest algorithm from within Perl programs. The algorithm takes as
input a message of arbitrary length and produces as output a 160-bit
""fingerprint"" or ""message digest"" of the input.

The Digest::SHA1 module provide a procedural interface for simple use,
as well as an object oriented interface that can handle messages of
arbitrary length and which can read files directly.

A binary digest will be 20 bytes long. A hex digest will be 40
characters long. A base64 digest will be 27 characters long.",perl sha1 digest ,sha1 binary perl digest base64 ,digest-sha1 perl module ,digest message arbitrary length interface ,5,应用库
perl-DynaLoader-Functions,"
Deconstructed dynamic C library loading.","
This module provides a function-based interface to dynamic loading as used
by Perl. Some details of dynamic loading are very platform-dependent, so
correct use of these functions requires the programmer to be mindful of the
space of platform variations.",library deconstructed dynamic ,perl module loading dynamic platform ,deconstructed dynamic library ,dynamic loading programmer require correct ,5,应用库
perl-Encode-Detect,"
Encode::Encoding subclass that detects the encoding of data.","
This Perl module is an Encode::Encoding subclass that uses
Encode::Detect::Detector to determine the charset of the input data and then
decodes it using the encoder of the detected charset.",encode encoding subclass ,perl encode charset detect module ,encode subclass detect ,charset input encode determine data ,5,应用库
perl-Env,"
Perl module that imports environment variables as scalars or arrays.","
Perl maintains environment variables in a special hash named %ENV. For when
this access method is inconvenient, the Perl module Env allows environment
variables to be treated as scalar or array variables.",perl variables imports ,perl variables environment env hash ,import environment variable ,environment variable perl module allow ,5,应用库
perl-Exception-Class,"
Module that allows you to declare real exception classes in Perl.","
Exception::Class allows you to declare exception hierarchies in your
modules in a ""Java-esque"" manner.",perl exception classes ,exception modules java class hierarchies ,declare real exception ,exception hierarchy module declare java-esque ,5,应用库
perl-ExtUtils-CBuilder,"
Compile and link C code for Perl modules.","
This module can build the C portions of Perl modules by invoking the
appropriate compilers and linkers in a cross-platform manner. It was motivated
by the Module::Build project, but may be useful for other purposes as well.",perl compile modules ,perl compilers build module linkers ,compile link code ,module appropriate invoke compiler linkers ,5,应用库
perl-ExtUtils-Install,"
Install Perl files from here to there.","
Handles the installing and uninstalling of Perl modules, scripts, man
pages, etc.",perl files install ,perl scripts uninstalling modules pages ,install perl file ,uninstalling perl module installing script ,5,应用库
perl-ExtUtils-ParseXS,"
Module and a script for converting Perl XS code into C code.","
ExtUtils::ParseXS will compile XS code into C code by embedding the
constructs necessary to let C functions manipulate Perl values and creates
the glue necessary to let Perl access those functions.",perl script converting ,parsexs perl xs compile extutils ,module script convert ,necessary function manipulate perl embed ,5,应用库
perl-Fedora-VSP,"
Perl version normalization for RPM.","
This module provides functions for normalizing Perl version strings for
Red Hat Package (RPM) based Linux distributions.",perl rpm normalization ,perl normalizing rpm package strings ,perl version normalization ,perl string version normalize package ,5,应用库
perl-File-chdir,"
A more sensible way to change directories.","
Perl's chdir() has the unfortunate problem of being very, very, very
global. If any part of your program calls chdir() or if any library you
use calls chdir(), it changes the current working directory for the
whole program.

This is not good.

File::chdir gives you an alternative, $CWD and @CWD. These two variables
combine all the power of chdir(), File::Spec and Cwd.",directories change sensible ,chdir perl directory file cwd ,sensible change directory ,chdir file program current call ,5,应用库
perl-File-Find-Rule,"
Perl module implementing an alternative interface to File::Find.","
File::Find::Rule is a friendlier interface to File::Find.  It allows
you to build rules which specify the desired files and directories.",perl file module ,files directories rule allows build ,module implement alternative ,file rule specify desired build ,5,应用库
perl-File-ShareDir,"
Locate per-dist and per-module shared files.","
The intent of File::ShareDir is to provide a companion to Class::Inspector
and File::HomeDir, modules that take a process that is well-known by
advanced Perl developers but gets a little tricky, and make it more
available to the larger Perl community.",locate shared module ,sharedir perl file homedir inspector ,locate per-dist per-module ,perl file modules take process ,5,应用库
perl-File-Which,"
Portable implementation of the 'which' utility.","
File::Which is a portable implementation (in Perl) of 'which', and can
be used to get the absolute filename of an executable program
installed somewhere in your PATH, or just check for its existence.",utility portable implementation ,executable filename perl file path ,portable implementation 'which ,'which instal absolute program filename ,5,应用库
perl-Filter,"
Perl source filters.","
Source filters alter the program text of a module before Perl sees it, much as
a C preprocessor alters the source text of a C program before the compiler
sees it.",perl filters source ,perl compiler preprocessor filters source ,perl source filter ,alter program text source module ,5,应用库
perl-Filter-Simple,"
Simplified Perl source filtering.","
The Filter::Simple Perl module provides a simplified interface to
Filter::Util::Call; one that is sufficient for most common cases.",perl filtering simplified ,perl filter util module simplified ,simplified perl source ,filter interface simplified sufficient provide ,5,应用库
